;id_professor;nome;anoconclusao;tipo;departamento
11690;e607573f-977e-46d6-b59c-36dae83683f2;ESCOLA E SEXUALIDADE: REFLEXOES SOBRE VIVENCIAS E EXCLUSAO SOCIAL;2008;COMPLETO;Departamento de Geociências
11691;e607573f-977e-46d6-b59c-36dae83683f2;TERRITORIO DA PROSTITUICAO E A INSTITUICAO DO SER TRAVESTI EM PONTA GROSSA - PR;2008;COMPLETO;Departamento de Geociências
11692;e607573f-977e-46d6-b59c-36dae83683f2;O ESPACO COMO COMPONENTE DOS NIVEIS DE VULNERABILIDADE DOS MENINOS ADOLESCENTES EM CONFLITO COM A LEI PARA A CONDUTA INFRACIONAL;2008;COMPLETO;Departamento de Geociências
11693;e607573f-977e-46d6-b59c-36dae83683f2;GEOGRAFIA, GENERO E SEXUALIDADES: DESAFIANDO AS PRATICAS INVESTIGATIVAS;2009;RESUMO_EXPANDIDO;Departamento de Geociências
11694;e607573f-977e-46d6-b59c-36dae83683f2;GEOGRAFIA Y GENERO EN AMERICA LATINA;2009;RESUMO_EXPANDIDO;Departamento de Geociências
11695;e607573f-977e-46d6-b59c-36dae83683f2;IMIGRACAO ILEGAL E AS BRASILEIRAS NA ATIVIDADE COMERCIAL SEXUAL NA ESPANHA;2009;RESUMO_EXPANDIDO;Departamento de Geociências
11696;e607573f-977e-46d6-b59c-36dae83683f2;DISTRIBUICAO ESPACIAL DA VIVENCIA COTIDIANA E O PERFIL DAS MULHERES ATENDIDAS PELO PROGRAMA PRO-EGRESSO NA CIDADE DE PONTA GROSSA - PARANA;2009;RESUMO_EXPANDIDO;Departamento de Geociências
11697;e607573f-977e-46d6-b59c-36dae83683f2;ARTICULANDO OS ESPACOS PRIVADO E PUBLICO: GENERO E FAMILIAS MONOPARENTAIS FEMININAS.;2009;COMPLETO;Departamento de Geociências
11698;e607573f-977e-46d6-b59c-36dae83683f2;LIVRETO: CONSTRUINDO A CIENCIA: ELABORACAO CRITICA DE PROJETOS DE PESQUISA;2009;COMPLETO;Departamento de Geociências
11699;e607573f-977e-46d6-b59c-36dae83683f2;A PROSTITUICAO COMO ESPACO DE RESISTENCIA FEMININA NO BAIRRO BOM RETIRO EM PONTA GROSSA - PR;2010;RESUMO_EXPANDIDO;Departamento de Geociências
11700;e607573f-977e-46d6-b59c-36dae83683f2;POBREZA E DISSOLUCOES CONJUGAIS DAS FAMILIAS MONOPARENTAIS FEMININAS;2010;RESUMO_EXPANDIDO;Departamento de Geociências
11701;e607573f-977e-46d6-b59c-36dae83683f2,49c8ad16-dede-498b-bdf7-b4fda328cd70;ESPACO E GESTAO: O ESTUDO DE UMA METODOLOGIA PARA O APROVEITAMENTO DE DADOS DE FONTES HETEROGENEAS NA CRIACAO DE INFORMACOES GEO-ESPACIAIS;2007;COMPLETO;Departamento de Geociências,Departamento de Informática
11702;e607573f-977e-46d6-b59c-36dae83683f2;ESPACO COMO COMPONENTE DO ATO INFRACIONAL DAS MENINAS ADOLESCENTES EM CONFLITO COM A LEI EM PONTA GROSSA - PR;2010;RESUMO_EXPANDIDO;Departamento de Geociências
11703;e607573f-977e-46d6-b59c-36dae83683f2;ESPACO ESCOLAR E VIVENCIA COTIDIANA GAY: ENTRE ALIANCAS, DISTANCIAMENTOS E PARADOXOS.;2011;COMPLETO;Departamento de Geociências
11704;87376d6e-e57a-490f-915b-fdd7aefbceb8;SIMULACAO NUMERICA ATRAVES DE ELEMENTOS FINITOS DA PROTECAO CATODICA POR CORRENTE IMPRESSA DO GAOSDUTO ENTERRADO;2003;COMPLETO;Departamento de Matemática e Estatística
11705;e607573f-977e-46d6-b59c-36dae83683f2;ALGUMAS CONSIDERACOES SOBRE RELACOES SOBRE ESPACOS, VIOLENCIA E VIVENCIA TRAVESTI NA CIDADE DE PONTA GROSSA - PARANA;2011;COMPLETO;Departamento de Geociências
11706;e607573f-977e-46d6-b59c-36dae83683f2;A RELACAO ENTRE VIVENCIA ESPACIAL DE JOVENS DO SEXO MASCULINO E A MORTE;2011;COMPLETO;Departamento de Geociências
11707;e607573f-977e-46d6-b59c-36dae83683f2;O CRACK COMO UM ELEMENTO DA ESPACIALIDADE DE JOVENS E ADOLESCENTES DE BAIXA RENDA;2011;COMPLETO;Departamento de Geociências
11708;e607573f-977e-46d6-b59c-36dae83683f2;A ARTICULACAO ENTRE OS ESPACOS PUBLICO E PRIVADO A PARTIR DAS ESPACIALIDADES VIVENCIADAS POR MULHERES CHEFES DE FAMILIA EM PONTA GROSSA - PR;2011;COMPLETO;Departamento de Geociências
11709;e607573f-977e-46d6-b59c-36dae83683f2;SOU EUROPEIA MONA!: MULTIPLAS ESPACIALIDADES TRAVESTIS VIVENCIADAS NA ESPANHA DO SECULO XXI;2011;COMPLETO;Departamento de Geociências
11710;e607573f-977e-46d6-b59c-36dae83683f2;UMA ANALISE DA RELACAO ENTRE ESPACO E MORTE NA GEOGRAFIA BRASILEIRA: LIMITES E POTENCIALIDADES;2011;COMPLETO;Departamento de Geociências
11711;e607573f-977e-46d6-b59c-36dae83683f2;ANALISE ESPACIAL DOS USUARIOS DO CRACK: UM DESAFIO PARA A GEOGRAFIA BRASILEIRA;2011;COMPLETO;Departamento de Geociências
11712;e607573f-977e-46d6-b59c-36dae83683f2;ANALISE DE REDES SOCIAIS E FINANCIAMENTO DE CAMPANHAS ELEITORAIS NO BRASIL;2012;COMPLETO;Departamento de Geociências
11713;e607573f-977e-46d6-b59c-36dae83683f2;ESPACO E EXPRESSAO HOMOAFETIVA DE HOMENS GAYS EM BARES E BOATES DE CURITIBA - PARANA;2011;RESUMO_EXPANDIDO;Departamento de Geociências
11714;e607573f-977e-46d6-b59c-36dae83683f2;ADOLESCENTES MENINAS EM CONFLITO COM A LEI NA CIDADE DE PONTA GROSSA - PARANA;2012;RESUMO_EXPANDIDO;Departamento de Geociências
11715;e607573f-977e-46d6-b59c-36dae83683f2;ESPACO, ABJECAO E MORTE NA EXPERIENCIAS TRAVESTI, PONTA GROSSA, PARANA;2012;RESUMO_EXPANDIDO;Departamento de Geociências
11716;e607573f-977e-46d6-b59c-36dae83683f2;GENERO E PRATICA CIENTIFICA: UMA ANALISE DA GEOGRAFIA BRASILEIRA;2012;RESUMO_EXPANDIDO;Departamento de Geociências
11717;e607573f-977e-46d6-b59c-36dae83683f2;ESPACO URBANO E MENINAS ADOLESCENTES EM CONFLITO COM A LEI NA CIDADE DE PONTA GROSSA - PARANA;2012;RESUMO_EXPANDIDO;Departamento de Geociências
11718;e607573f-977e-46d6-b59c-36dae83683f2;A RELACAO ENTRE AS ESPACIALIDADES DE JOVENS DO SEXO MASCULINO E A MORTE POR HOMICIDIO NA CIDADE DE PONTA GROSSA - PARANA;2012;COMPLETO;Departamento de Geociências
11719;e607573f-977e-46d6-b59c-36dae83683f2;ESPACIALIDADES E SOCIABILIDADE GAY EM BARES E BOATES DA NOITE CURITIBANA;2011;COMPLETO;Departamento de Geociências
11720;e607573f-977e-46d6-b59c-36dae83683f2;INTERSECTIONALITY AND TRANSNATIONAL MOBILITY BETWEEN BRAZIL AND SPAIN IN TRAVESTI PROSTITUTION NETWORKS;2013;RESUMO;Departamento de Geociências
11721;e607573f-977e-46d6-b59c-36dae83683f2;REFLEXOES SOBRE A UTOPIA E A PRATICA CIENTIFICA: A EXPERIENCIA DA REVISTA LATINO-AMERICANA DE GEOGRAFIA E GENERO;2013;RESUMO;Departamento de Geociências
11722;e607573f-977e-46d6-b59c-36dae83683f2;ESPACIALIDADES E MATERNAGENS EM VIVENCIAS COTIDIANAS DE MULHERES PROSTITUTAS EM PONTA GROSSA ? PARANA;2013;COMPLETO;Departamento de Geociências
11723;e607573f-977e-46d6-b59c-36dae83683f2;ESPACOS DE MORTE E REPRESENTACOES SOCIAIS DE TRAVESTIS NA CIDADE DE PONTA GROSSA ? PARANA;2013;COMPLETO;Departamento de Geociências
11724;e607573f-977e-46d6-b59c-36dae83683f2;PARTICIPACAO DE MULHERES NA DINAMICA ELEITORAL DA REGIAO SUL DO BRASIL;2013;COMPLETO;Departamento de Geociências
11725;e607573f-977e-46d6-b59c-36dae83683f2;A MORTE COMO COMPONENTE VIVO NAS ESPACIALIDADES VIVENCIADAS POR JOVENS DO SEXO MASCULINO EM PONTA GROSSA ? PR;2013;COMPLETO;Departamento de Geociências
11726;e607573f-977e-46d6-b59c-36dae83683f2;GENERO E PRATICA RELIGIOSA: A EXPERIENCIA DE MULHERES JOVENS DA IGREJA EVANGELICA REFORMADA NOVA HOLANDA, CARAMBEI-  PR;2013;RESUMO_EXPANDIDO;Departamento de Geociências
11727;e607573f-977e-46d6-b59c-36dae83683f2;PRODUTIVIDADE CIENTIFICA FEMININA NA GEOGRAFIA BRASILEIRA: SISTEMA QUALIS- CAPES, ESTRATO B3;2013;RESUMO_EXPANDIDO;Departamento de Geociências
11728;e607573f-977e-46d6-b59c-36dae83683f2;ESPACO COMO COMPONENTE DOS CASOS VIOLENCIA SEXUAL EM PONTA GROSSA - PR NO ANO DE 2012;2013;RESUMO_EXPANDIDO;Departamento de Geociências
11729;e607573f-977e-46d6-b59c-36dae83683f2;A RELACAO ENTRE ESPACO URBANO E MEDO NAS REPRESENTACOES SOCIAIS DE JOVENS DO SEXO MASCULINO EM PONTA GROSSA - PR;2013;RESUMO_EXPANDIDO;Departamento de Geociências
11730;e607573f-977e-46d6-b59c-36dae83683f2;POSICIONAMENTO DAS MULHERES NA REDE DE FINANCIAMENTO ELEITORAL E SEU DESEMPENHO NAS ELEICOES DE 2010 NO BRASIL: A DINAMICA ESTRUTURAL DA EXCLUSAO E MARGINALIZACAO FEMININA NO PODER POLITICO;2014;COMPLETO;Departamento de Geociências
11731;e607573f-977e-46d6-b59c-36dae83683f2;GENDER AND SEXAULITIES IN BRAZILIAN GEOGRAPHY;2014;RESUMO;Departamento de Geociências
