;id_professor;nome;anopubli;tipo;departamento
4402;95cd696e-296d-4874-bbd0-ff59f00f798e;O PIBID E SUA CONTRIBUICAO PARA A QUALIDADE DA EDUCACAO NA DISCIPLINA DE GEOGRAFIA;2017;NACIONAL;Departamento de Geociências
4403;95cd696e-296d-4874-bbd0-ff59f00f798e;APONTAMENTOS ACERCA DA POS-MODERNIDADE E SUA RELACAO COM A ETICA AMBIENTAL;2017;NACIONAL;Departamento de Geociências
4404;95cd696e-296d-4874-bbd0-ff59f00f798e;EFICACIA DE GESTAO DO PARQUE NACIONAL DOS CAMPOS GERAIS, PARANA;2016;NACIONAL;Departamento de Geociências
4405;95cd696e-296d-4874-bbd0-ff59f00f798e;A GESTAO DE PESSOAS NO PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIACAO A DOCENCIA (GEOGRAFIA) NA UNIVERSIDADE ESTADUAL DE PONTA GROSSA, PR;2017;NACIONAL;Departamento de Geociências
4406;95cd696e-296d-4874-bbd0-ff59f00f798e;A APLICABILIDADE DE JOGOS DIDATICOS NO ENSINO DE GEOGRAFIA;2017;NACIONAL;Departamento de Geociências
4407;95cd696e-296d-4874-bbd0-ff59f00f798e;AMBIENTALISMO E LIBERDADE;2018;NACIONAL;Departamento de Geociências
4408;95cd696e-296d-4874-bbd0-ff59f00f798e;ASPECTOS GEOLOGICOS DA AREA URBANA DA BACIA DO ARROIO GERTRUDES, PONTA GROSSA, PR;2018;NACIONAL;Departamento de Geociências
4409;95cd696e-296d-4874-bbd0-ff59f00f798e;POLITICAS PUBLICAS PARA A CONSERVACAO DO BIOMA CERRADO NO ESTADO DO PARANA, BRASIL;2019;NACIONAL;Departamento de Geociências
4410;95cd696e-296d-4874-bbd0-ff59f00f798e;APONTAMENTOS ACERCA DA POLITICA NACIONAL DE MEIO AMBIENTE;2020;NACIONAL;Departamento de Geociências
4411;95cd696e-296d-4874-bbd0-ff59f00f798e;COMPARATIVE STUDY OF CASES OF COVID-19 IN THE MUNICIPALITIES OF PONTA GROSSA AND CASCAVEL, PARANA STATE, BRAZIL;2020;NACIONAL;Departamento de Geociências
